date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:43%20GMT	https://imgur.com/YFdMINk.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/YFdMINk.1c.delayed	(from https://redefurious.minecart.com.br/)
21:09:43	40019/40019	---M--	200	added ('OK')	image/png	etag:%227658162e8692649731cc0269563286db%22	https://i.imgur.com/YFdMINk.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/YFdMINk.png	(from https://redefurious.minecart.com.br/)
21:09:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:43%20GMT	https://imgur.com/DwQMAKk.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/DwQMAKk.1e.delayed	(from https://redefurious.minecart.com.br/)
21:09:43	31484/31484	---M--	200	added ('OK')	image/png	etag:%22b33ed192329042e54e1f3e864a3b61ce%22	https://i.imgur.com/DwQMAKk.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/DwQMAKk.png	(from https://redefurious.minecart.com.br/)
21:09:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:44%20GMT	http://cdn.minecart.com.br/assets/js/lazyload.min.js	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/js/lazyload.min.js	(from https://redefurious.minecart.com.br/)
21:09:45	7577/7577	---M-Z	200	added ('OK')	application/javascript	etag:%221d99-5cc758478e36c-gzip%22	https://cdn.minecart.com.br/assets/js/lazyload.min.js	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/js/lazyload.min.js	(from https://redefurious.minecart.com.br/)
21:09:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:45%20GMT	http://cdn.minecart.com.br/assets/img/cube-server.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/cube-server.png	(from https://redefurious.minecart.com.br/)
21:09:45	15074/15074	---M--	200	added ('OK')	image/png	etag:%223ae2-5cabae078f3ea%22	https://cdn.minecart.com.br/assets/img/cube-server.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/cube-server.png	(from https://redefurious.minecart.com.br/)
21:09:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:45%20GMT	http://cdn.minecart.com.br/assets/img/cube-vip.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/cube-vip.png	(from https://redefurious.minecart.com.br/)
21:09:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:46%20GMT	http://cdn.minecart.com.br/assets/img/steve-skin-render-80.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/steve-skin-render-80.png	(from https://redefurious.minecart.com.br/)
21:09:46	41746/41746	---M--	200	added ('OK')	image/png	etag:%22a312-5cabae078f3ea%22	https://cdn.minecart.com.br/assets/img/cube-vip.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/cube-vip.png	(from https://redefurious.minecart.com.br/)
21:09:46	14573/14573	---M--	200	added ('OK')	image/png	etag:%2238ed-5cc758478d3cc%22	https://cdn.minecart.com.br/assets/img/steve-skin-render-80.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/steve-skin-render-80.png	(from https://redefurious.minecart.com.br/)
21:09:47	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226149ff86-302c%22	https://redefurious.minecart.com.br/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://redefurious.minecart.com.br/)
21:09:47	13795/13795	---MCZ	200	added ('OK')	text/javascript	etag:W/2021.9.0	https://static.cloudflareinsights.com/beacon.min.js	C:/Users/projeto_heastyhostin/Desktop/ff/static.cloudflareinsights.com/beacon.min.js	(from https://redefurious.minecart.com.br/)
21:09:47	297172/297172	---M--	200	added ('OK')	image/png	etag:%22488d4-5cabae078f3ea%22	https://cdn.minecart.com.br/assets/img/cash-background.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/cash-background.png	(from https://cdn.minecart.com.br/assets/templates/transcend/css/style.css?v=2.0.6)
21:09:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:48%20GMT	https://imgur.com/LjPEs1I.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/LjPEs1I.2b.delayed	(from https://redefurious.minecart.com.br/shop/1160-geral)
21:09:48	12553/12553	---M--	200	added ('OK')	image/png	etag:%22ecf1194b5c47c6956f975f900065bf9e%22	https://i.imgur.com/LjPEs1I.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/LjPEs1I.png	(from https://redefurious.minecart.com.br/shop/1160-geral)
21:09:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:48%20GMT	https://imgur.com/0XxZ9vE.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/0XxZ9vE.2d.delayed	(from https://redefurious.minecart.com.br/shop/1160-geral)
21:09:48	14331/14331	---M--	200	added ('OK')	image/png	etag:%22e91b3ca1350d8b548f88fe358b9feb0a%22	https://i.imgur.com/0XxZ9vE.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/0XxZ9vE.png	(from https://redefurious.minecart.com.br/shop/1160-geral)
